Ca,An
49.71032051,-0.968307692
100.2957692,-0.671641026
150.4723718,-0.558237179
199.3191026,-0.279177949
350.5476282,-0.098213115
500.1015385,0.261109936
749.9828205,0.529284615
1000.476346,1.168102564
1499.856987,1.396051282
